rep	K	seed	logfile	ml	cv	cv_se
4	3	40003	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep4.3.log	-0.5671444562	0.4380655	0.025845
4	4	40004	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep4.4.log	-0.5433397415	0.3810952	0.0302273
4	5	40005	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep4.5.log	-0.5436475323	0.4125897	0.014598
4	6	40006	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep4.6.log	-0.5339526077	0.3798138	0.0140729
4	7	40007	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep4.7.log	-0.5356054538	0.35146	0.0118499
4	8	40008	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep4.8.log	-0.5357341844	0.3527037	0.0231418
4	9	40009	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep4.9.log	-0.5359402874	0.357058	0.022915
4	10	40010	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep4.10.log	-0.5359692556	0.3664253	0.0246213
5	1	50001	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep5.1.log	-0.6717546703	0.5826749	0.0135089
5	2	50002	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep5.2.log	-0.6027157385	0.4959839	0.0179904
5	3	50003	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep5.3.log	-0.5671455217	0.4428713	0.0267751
5	4	50004	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep5.4.log	-0.5433397415	0.3881588	0.0207201
5	5	50005	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep5.5.log	-0.5521403437	0.3937142	0.0142948
5	6	50006	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep5.6.log	-0.5354440233	0.371625	0.0148534
5	7	50007	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep5.7.log	-0.536223514	0.3640419	0.0170368
5	8	50008	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep5.8.log	-0.5357341833	0.346879	0.0091594
5	9	50009	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep5.9.log	-0.5343537592	0.3736256	0.01326
5	10	50010	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep5.10.log	-0.5536015818	0.3493437	0.0217937
6	1	60001	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep6.1.log	-0.6717546703	0.589506	0.0104059
6	2	60002	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep6.2.log	-0.6027157948	0.4763649	0.020379
6	3	60003	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep6.3.log	-0.571288789	0.4433789	0.0253236
6	4	60004	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep6.4.log	-0.5433480474	0.3852212	0.0276464
6	5	60005	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep6.5.log	-0.5337345137	0.3686572	0.0336341
6	6	60006	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep6.6.log	-0.5339588933	0.3628226	0.0196128
6	7	60007	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep6.7.log	-0.5524768748	0.3969497	0.0149775
6	8	60008	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep6.8.log	-0.5345479592	0.361431	0.0039923
6	9	60009	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep6.9.log	-0.5358339442	0.3550129	0.0164872
6	10	60010	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep6.10.log	-0.5457338457	0.358333	0.0252385
7	1	70001	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep7.1.log	-0.6717546703	0.5877821	0.0314333
7	2	70002	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep7.2.log	-0.6027158272	0.4934693	0.0227759
7	3	70003	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep7.3.log	-0.5672568557	0.4405105	0.032185
7	4	70004	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep7.4.log	-0.5527234539	0.4128975	0.0228245
7	5	70005	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep7.5.log	-0.5337327816	0.3777323	0.0289177
7	6	70006	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep7.6.log	-0.5354440552	0.3438058	0.0191506
7	7	70007	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep7.7.log	-0.5441059439	0.3508309	0.0191994
7	8	70008	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep7.8.log	-0.5426990589	0.3591675	0.0224879
7	9	70009	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep7.9.log	-0.5371436835	0.3579663	0.020925
7	10	70010	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep7.10.log	-0.5434295818	0.351471	0.0219316
8	1	80001	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep8.1.log	-0.6717546703	0.6224996	0.0113808
8	2	80002	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep8.2.log	-0.602715779	0.5178997	0.014288
8	3	80003	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep8.3.log	-0.5712844793	0.4379072	0.0326247
8	4	80004	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep8.4.log	-0.5595713536	0.4099938	0.0126517
8	5	80005	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep8.5.log	-0.5337396652	0.3694408	0.0131264
8	6	80006	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep8.6.log	-0.5383645317	0.3826246	0.0174722
8	7	80007	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep8.7.log	-0.535597239	0.3688514	0.0234816
8	8	80008	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep8.8.log	-0.5358031014	0.3594209	0.0260065
8	9	80009	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep8.9.log	-0.5344825084	0.3714333	0.0248557
