Sample	N_sites	N_missing	Missingness	Callrate	Population	Outlier_IQR	Missingness_Z	Outlier_Z3
MVZ223020	23482	6871	0.292607103313176	0.707392896686824	Sierra_3	FALSE	0.346350421044261	FALSE
MVZ200647	23482	6857	0.292010901967464	0.707989098032536	Sierra_3	FALSE	0.326176364159732	FALSE
MVZ222752	23482	6840	0.291286943190529	0.708713056809471	Sierra_3	FALSE	0.301679295085661	FALSE
MVZ222757	23482	6840	0.291286943190529	0.708713056809471	Sierra_3	FALSE	0.301679295085661	FALSE
MVZ223022	23482	6793	0.289285410101354	0.710714589898646	Sierra_3	FALSE	0.233952104116175	FALSE
MVZ219009	23482	6747	0.287326462822588	0.712673537177412	North_Coast	FALSE	0.167665917209868	FALSE
MVZ222753	23482	6720	0.286176645941572	0.713823354058428	Sierra_3	FALSE	0.128758807503993	FALSE
MVZ232173	23482	6717	0.286048888510348	0.713951111489652	South_Coast	FALSE	0.124435795314452	FALSE
MVZ222754	23482	6709	0.285708202027085	0.714291797972915	Sierra_3	FALSE	0.112907762809007	FALSE
MVZ232185	23482	6699	0.285282343923005	0.714717656076995	Sierra_3	FALSE	0.0984977221772003	FALSE
MVZ222756	23482	6696	0.285154586491781	0.714845413508219	Sierra_3	FALSE	0.0941747099876592	FALSE
MVZ222750	23482	6677	0.284345456094029	0.71565454390597	Sierra_3	FALSE	0.0667956327872276	FALSE
MVZ191565	23482	6632	0.282429094625671	0.717570905374329	North_Coast	FALSE	0.00195044994410249	FALSE
MVZ191548	23482	6631	0.282386508815263	0.717613491184737	North_Coast	FALSE	0.000509445880920891	FALSE
MVZ227430	23482	6627	0.282216165573631	0.717783834426369	South_Coast	FALSE	-0.00525457037179988	FALSE
MVZ191515	23482	6604	0.281236691934247	0.718763308065753	North_Coast	FALSE	-0.0383976638249542	FALSE
MVZ217992	23482	6594	0.280810833830168	0.719189166169832	North_Coast	FALSE	-0.0528077044567589	FALSE
MVZ222755	23482	6557	0.279235158845073	0.720764841154927	Sierra_3	FALSE	-0.106124854794441	FALSE
MVZ221535	23482	6542	0.278596371688953	0.721403628311047	Sierra_2	FALSE	-0.12773991574215	FALSE
MVZ191607	23482	6539	0.278468614257729	0.721531385742271	North_Coast	FALSE	-0.132062927931691	FALSE
MVZ222480	23482	6528	0.278000170343242	0.721999829656758	Sierra_1	FALSE	-0.147913972626677	FALSE
MVZ222746	23482	6527	0.277957584532834	0.722042415467166	Sierra_3	FALSE	-0.149354976689859	FALSE
MVZ222747	23482	6492	0.276467081168555	0.723532918831445	Sierra_3	FALSE	-0.199790118901179	FALSE
MVZ228428	23482	6491	0.276424495358147	0.723575504641853	Sierra_3	FALSE	-0.201231122964359	FALSE
MVZ222749	23482	6482	0.276041223064475	0.723958776935525	Sierra_3	FALSE	-0.214200159532984	FALSE
MVZ240832	23482	6461	0.275146921045907	0.724853078954093	South_Coast	FALSE	-0.244461244859777	FALSE
MVZ196598	23482	6434	0.273997104164892	0.726002895835108	Sierra_3	FALSE	-0.283368354565652	FALSE
MVZ228426	23482	6432	0.273911932544076	0.726088067455924	Sierra_3	FALSE	-0.286250362692013	FALSE
MVZ232186	23482	6417	0.273273145387957	0.726726854612043	Sierra_3	FALSE	-0.307865423639722	FALSE
MVZ222751	23482	6416	0.273230559577549	0.726769440422451	Sierra_3	FALSE	-0.309306427702902	FALSE
MVZ239688	23482	6392	0.272208500127757	0.727791499872243	South_Coast	FALSE	-0.343890525219236	FALSE
MVZ240837	23482	6389	0.272080742696534	0.727919257303467	South_Coast	FALSE	-0.348213537408777	FALSE
MVZ206289	23482	6387	0.271995571075718	0.728004428924282	NA	FALSE	-0.351095545535138	FALSE
MVZ241098	23482	6381	0.27174005621327	0.72825994378673	South_Coast	FALSE	-0.359741569914222	FALSE
MVZ222758	23482	6330	0.269568179882463	0.730431820117537	Sierra_3	FALSE	-0.433232777136431	FALSE
MVZ217517	23482	6296	0.268120262328592	0.731879737671408	Sierra_3	FALSE	-0.482226915284572	FALSE
MVZ218549	23482	6265	0.266800102205945	0.733199897794055	Sierra_3	FALSE	-0.526898041243169	FALSE
MVZ220148	23482	6255	0.266374244101865	0.733625755898135	Sierra_3	FALSE	-0.541308081874974	FALSE
MVZ217872	23482	6208	0.264372711012691	0.73562728898731	Sierra_3	FALSE	-0.609035272844462	FALSE
MVZ217509	23482	6181	0.263222894131675	0.736777105868325	Sierra_3	FALSE	-0.647942382550337	FALSE
MVZ218037	23482	6166	0.262584106975556	0.737415893024444	Sierra_3	FALSE	-0.669557443498046	FALSE
MVZ221743	23482	6157	0.262200834681884	0.737799165318116	Sierra_2	FALSE	-0.682526480066671	FALSE
MVZ217516	23482	6150	0.261902734009028	0.738097265990972	Sierra_3	FALSE	-0.692613508508935	FALSE
MVZ200477	23482	6118	0.260539988075973	0.739460011924027	Sierra_3	FALSE	-0.738725638530714	FALSE
MVZ221740	23482	6102	0.259858615109446	0.740141384890554	Sierra_2	FALSE	-0.761781703541603	FALSE
MVZ232188	23482	6062	0.258155182693127	0.741844817306873	Sierra_2	FALSE	-0.819421866068826	FALSE
MVZ232190	23482	6018	0.256281407035176	0.743718592964824	Sierra_2	FALSE	-0.882826044848771	FALSE
MVZ223094	23482	6010	0.255940720551912	0.744059279448088	Sierra_1	FALSE	-0.894354077354217	FALSE
MVZ225827	23482	6001	0.25555744825824	0.74444255174176	Sierra_1	FALSE	-0.907323113922842	FALSE
MVZ199511	23482	5991	0.255131590154161	0.744868409845839	Sierra_2	FALSE	-0.921733154554646	FALSE
MVZ224676	23482	5983	0.254790903670897	0.745209096329103	Sierra_2	FALSE	-0.933261187060092	FALSE
MVZ223095	23482	5968	0.254152116514777	0.745847883485223	Sierra_1	FALSE	-0.954876248007801	FALSE
MVZ222490	23482	5922	0.252193169236011	0.74780683076399	Sierra_1	FALSE	-1.02116243491411	FALSE
MVZ232189	23482	5873	0.25010646452602	0.74989353547398	Sierra_2	FALSE	-1.09177163400996	FALSE
MVZ224618	23482	5800	0.246997700366238	0.753002299633762	Sierra_1	FALSE	-1.19696493062214	FALSE
MVZ201308	23482	5773	0.245847883485223	0.754152116514777	Sierra_1	FALSE	-1.23587204032801	FALSE
MVZ216215	23482	5766	0.245549782812367	0.754450217187633	Sierra_1	FALSE	-1.24595906877028	FALSE
MVZ201314	23482	5715	0.24337790648156	0.75662209351844	Sierra_1	FALSE	-1.31945027599249	FALSE
MVZ201003	23482	5706	0.242994634187889	0.757005365812111	Sierra_2	FALSE	-1.33241931256111	FALSE
MVZ199510	23482	5683	0.242015160548505	0.757984839451495	Sierra_2	FALSE	-1.36556240601426	FALSE
MVZ199509	23482	5670	0.241461545013202	0.758538454986798	Sierra_2	FALSE	-1.38429545883561	FALSE
MVZ201309	23482	5660	0.241035686909122	0.758964313090878	Sierra_1	FALSE	-1.39870549946742	FALSE
MVZ207124	23482	5657	0.240907929477898	0.759092070522102	Sierra_1	FALSE	-1.40302851165696	FALSE
MVZ201318	23482	5645	0.240396899753002	0.759603100246998	Sierra_1	FALSE	-1.42032056041513	FALSE
MVZ216205	23482	5625	0.239545183544843	0.760454816455157	Sierra_1	FALSE	-1.44914064167874	FALSE
MVZ201312	23482	5602	0.23856570990546	0.76143429009454	Sierra_1	FALSE	-1.48228373513189	FALSE
MVZ199508	23482	5596	0.238310195043012	0.761689804956988	Sierra_2	FALSE	-1.49092975951097	FALSE
MVZ201307	23482	5566	0.237032620730772	0.762967379269228	Sierra_1	FALSE	-1.53415988140639	FALSE
